Species Name,Scientific Name,Current Population,Population Decline Rate (%),Habitat Loss (%),Climate Threat Level (1-10),Poaching Threat Level (1-10),Conservation Efforts,Protected Area Coverage (%),Extinction Probability (0-100%)
Axolotl,Ambystoma mexicanum,1187,18.15,38.86,2,4,Medium,6.49,20.87
Vaquita,Pholidota,2227,13.09,18.7,5,9,Low,33.31,72.83
Axolotl,Pseudoryx nghetinhensis,1305,19.54,72.27,2,3,Low,13.36,46.25
Axolotl,Pholidota,927,21.02,39.29,1,7,Medium,63.31,71.85
Saola,Podiceps gallardoi,4256,21.56,59.67,6,5,Medium,13.98,93.19
Hainan Gibbon,Gorilla beringei beringei,4536,20.46,83.95,4,1,Medium,12.94,66.74
Mountain Gorilla,Pseudoryx nghetinhensis,2424,21.62,56.04,5,7,High,7.12,45.92
Axolotl,Nomascus hainanus,660,12.75,61.02,3,8,Medium,76.66,36.37
Axolotl,Nomascus hainanus,4925,16.15,61.43,6,6,High,63.93,39.88
Mountain Gorilla,Rhinoceros sondaicus,2296,21.72,58.99,4,1,Medium,30.0,98.0
Vaquita,Rhinoceros sondaicus,2761,23.86,22.78,6,9,High,33.23,68.61
Saola,Gorilla beringei beringei,3208,15.85,46.51,5,7,Low,9.46,54.8
Hooded Grebe,Panthera pardus orientalis,951,14.13,10.61,2,6,Low,16.84,38.25
Pangolin,Nomascus hainanus,550,22.9,60.1,4,4,High,28.36,81.07
Pangolin,Panthera pardus orientalis,2690,10.55,56.03,2,3,Low,34.09,50.61
Amur Leopard,Gorilla beringei beringei,3737,5.24,35.45,5,4,Low,51.5,43.79
Saola,Ambystoma mexicanum,2539,16.78,51.91,3,1,High,31.27,37.56
Yangtze Giant Softshell Turtle,Nomascus hainanus,1212,9.33,49.44,6,9,Medium,76.6,34.66
Hooded Grebe,Podiceps gallardoi,4974,14.46,30.07,5,2,Medium,30.71,41.6
Pangolin,Gorilla beringei beringei,660,12.28,33.46,2,2,High,75.62,69.55
Yangtze Giant Softshell Turtle,Pseudoryx nghetinhensis,3016,24.43,71.0,8,3,Low,59.74,38.95
Hainan Gibbon,Rafetus swinhoei,4542,13.29,70.46,6,1,Medium,72.49,24.79
Yangtze Giant Softshell Turtle,Podiceps gallardoi,2914,21.02,47.58,9,3,Medium,57.74,48.36
Yangtze Giant Softshell Turtle,Pholidota,323,21.85,67.4,3,4,Low,47.64,66.2
Hooded Grebe,Nomascus hainanus,4124,16.41,46.06,4,9,High,43.18,24.76
Hainan Gibbon,Pholidota,1193,7.03,78.11,8,5,High,26.85,55.76
Yangtze Giant Softshell Turtle,Nomascus hainanus,4923,22.51,36.62,7,6,Medium,27.36,24.13
Mountain Gorilla,Panthera pardus orientalis,131,6.88,84.18,8,1,High,21.74,80.69
Javan Rhino,Gorilla beringei beringei,178,7.48,53.38,9,3,Low,33.92,88.88
Axolotl,Pseudoryx nghetinhensis,3692,9.9,52.86,8,7,High,14.52,96.14
Vaquita,Gorilla beringei beringei,4734,12.01,63.66,8,7,High,34.07,74.61
Axolotl,Phocoena sinus,4131,26.16,37.27,6,1,High,67.53,69.93
Amur Leopard,Nomascus hainanus,3978,21.87,67.95,2,9,High,70.27,74.83
Yangtze Giant Softshell Turtle,Phocoena sinus,4027,14.68,35.63,7,1,Low,53.21,87.52
Pangolin,Rhinoceros sondaicus,3707,29.47,41.8,4,7,High,24.26,83.76
Saola,Ambystoma mexicanum,1739,11.09,63.98,3,2,Medium,23.03,54.64
Amur Leopard,Gorilla beringei beringei,3565,20.25,40.28,4,9,High,25.84,71.43
Hooded Grebe,Panthera pardus orientalis,1128,26.18,26.0,4,9,Medium,42.5,32.79
Saola,Pseudoryx nghetinhensis,2178,25.05,79.75,3,9,Low,78.23,74.9
Saola,Nomascus hainanus,4231,7.26,83.77,9,4,High,13.19,77.73
Hooded Grebe,Pseudoryx nghetinhensis,4791,22.43,60.14,3,6,Medium,42.54,83.3
Mountain Gorilla,Rhinoceros sondaicus,3126,11.45,74.89,2,2,High,56.17,84.59
Axolotl,Pholidota,4740,13.89,88.93,1,3,High,23.42,54.75
Amur Leopard,Pseudoryx nghetinhensis,2439,17.22,59.18,1,6,Medium,77.68,91.38
Axolotl,Nomascus hainanus,2017,24.77,82.7,5,1,Low,31.18,97.5
Hainan Gibbon,Phocoena sinus,1060,9.16,38.74,5,7,Low,74.93,97.27
Pangolin,Panthera pardus orientalis,714,7.71,66.04,9,2,Low,49.8,66.28
Amur Leopard,Pseudoryx nghetinhensis,2909,8.84,14.46,4,8,Low,5.31,64.2
Hooded Grebe,Panthera pardus orientalis,3217,10.46,73.12,5,5,Low,28.33,56.13
Yangtze Giant Softshell Turtle,Pholidota,716,6.49,76.38,6,7,Low,6.62,43.68
Amur Leopard,Panthera pardus orientalis,3842,28.16,42.09,7,8,High,33.61,46.37
Amur Leopard,Pholidota,2018,12.98,61.12,9,3,High,74.94,37.04
Javan Rhino,Pholidota,4731,9.42,78.67,6,6,Medium,63.43,95.5
Hooded Grebe,Ambystoma mexicanum,4631,20.95,80.69,1,9,Low,51.51,68.97
Hooded Grebe,Ambystoma mexicanum,1607,24.67,18.52,8,4,Low,45.39,93.82
Axolotl,Rafetus swinhoei,1076,23.83,76.2,2,7,Low,32.94,50.58
Pangolin,Panthera pardus orientalis,1956,22.97,31.94,9,1,Medium,20.87,43.56
Hooded Grebe,Pseudoryx nghetinhensis,2809,6.26,68.18,7,7,High,9.69,30.49
Vaquita,Panthera pardus orientalis,105,24.55,36.01,7,9,High,19.26,43.72
Hooded Grebe,Pholidota,2084,17.55,14.51,5,8,Low,31.36,90.32
Vaquita,Ambystoma mexicanum,4941,21.23,26.79,8,4,High,44.0,66.0
Yangtze Giant Softshell Turtle,Podiceps gallardoi,1928,28.91,42.69,1,3,High,20.33,55.75
Pangolin,Phocoena sinus,1275,25.27,69.3,3,7,High,78.07,64.89
Mountain Gorilla,Panthera pardus orientalis,2544,25.63,18.06,9,1,Low,10.76,90.52
Amur Leopard,Gorilla beringei beringei,249,9.54,75.03,1,8,High,12.11,35.23
Pangolin,Gorilla beringei beringei,1337,16.91,89.76,8,1,High,56.2,96.29
Axolotl,Rafetus swinhoei,1152,28.73,73.06,6,7,Medium,61.63,72.63
Amur Leopard,Nomascus hainanus,3233,19.57,47.9,5,6,Low,77.93,87.57
Vaquita,Panthera pardus orientalis,3858,7.56,55.45,6,8,High,44.78,61.51
Saola,Panthera pardus orientalis,1425,23.3,10.49,5,6,Low,17.45,38.69
Pangolin,Rhinoceros sondaicus,2408,6.07,26.74,9,5,High,75.34,64.83
Axolotl,Pholidota,770,23.56,81.92,2,9,Low,78.52,25.37
Vaquita,Nomascus hainanus,3652,26.99,11.74,6,4,High,74.26,87.32
Axolotl,Pholidota,1562,15.63,82.38,4,7,High,70.37,71.32
Axolotl,Pholidota,872,15.34,19.06,3,6,Medium,10.82,42.35
Axolotl,Pseudoryx nghetinhensis,4045,12.61,20.65,5,6,Low,69.12,41.68
Pangolin,Phocoena sinus,1165,26.92,24.03,2,5,High,76.49,91.32
Saola,Panthera pardus orientalis,366,18.69,73.95,3,2,Medium,46.42,86.43
Vaquita,Nomascus hainanus,1681,19.48,48.25,7,4,Medium,62.94,80.29
Mountain Gorilla,Pseudoryx nghetinhensis,1338,21.54,21.62,1,1,Low,54.57,52.77
Vaquita,Ambystoma mexicanum,1039,12.51,64.94,2,9,Low,26.6,88.93
Hooded Grebe,Podiceps gallardoi,2386,15.82,85.26,3,9,Medium,49.06,39.5
Amur Leopard,Pholidota,3251,23.54,55.8,7,8,Low,71.7,21.92
Saola,Rafetus swinhoei,2001,29.64,17.9,4,4,Low,42.23,54.19
Pangolin,Gorilla beringei beringei,3881,5.86,14.38,8,5,Low,49.26,92.64
Javan Rhino,Nomascus hainanus,2395,6.07,73.67,8,1,High,44.86,65.13
Mountain Gorilla,Rhinoceros sondaicus,3150,15.7,60.09,1,4,Low,26.18,38.13
Amur Leopard,Panthera pardus orientalis,891,21.49,83.81,5,4,Low,53.27,71.41
Javan Rhino,Gorilla beringei beringei,548,14.66,53.78,1,5,Medium,43.21,78.85
Hooded Grebe,Pseudoryx nghetinhensis,4842,29.99,14.99,7,2,Medium,22.44,63.48
Vaquita,Gorilla beringei beringei,1867,9.88,42.29,4,2,Medium,72.15,86.57
Vaquita,Panthera pardus orientalis,3567,5.2,62.64,8,2,Low,76.25,66.8
Saola,Gorilla beringei beringei,4548,9.75,40.79,8,8,Low,9.15,27.59
Pangolin,Ambystoma mexicanum,2206,27.17,89.97,9,2,Medium,51.68,83.95
Pangolin,Rhinoceros sondaicus,1960,8.63,42.43,6,6,Medium,36.13,31.56
Amur Leopard,Rafetus swinhoei,1620,16.97,53.7,7,2,High,44.45,89.74
